block,HHI,depositers
11460758,1210.601953797487,215
11460898,1215.6238461341823,215
11461088,1215.6060965293393,216
11461187,1215.6238461341823,215
11461528,1215.618521132068,216
11461833,1205.7626623407893,216
11461870,1205.0599910974909,217
11461991,1203.452159570781,218
11462160,1191.1400242351299,218
11462254,1191.0545601519295,218
11462368,1177.820253364312,219
11462431,1191.0545601519295,218
11462477,1197.5511123533295,217
11462837,1198.1573004615464,216
11463108,1197.5511145514924,217
11463110,1092.9201682696857,218
11463271,1093.0707811635789,218
11463293,1093.2215214973849,218
11463452,1093.1603304720486,218
11463551,1092.446870892535,218
11463582,1091.8699577099376,218
11464227,1103.1632203005918,218
11464251,1102.8781097090405,218
11464258,1111.6453768043814,218
11464314,1108.9570450231276,218
11464319,1113.2896682641838,217
11464493,1117.5554004242492,216
11464549,1117.648962805678,215
11464609,1117.2912971432315,215
11464757,1126.4206606206083,215
11465504,1126.377722248434,216
11465511,1127.6310103627548,215
11465723,1124.5119086496982,216
11465794,1124.264180073383,216
11465926,1124.0315069841333,217
11466060,1123.8883669862198,218
11466064,1123.8461757469033,219
11466091,1123.5699485831938,220
11466159,1122.1796178171783,221
11466269,1120.6385147437677,222
11466459,1108.6249368228102,223
11466507,1107.115834588579,224
11466627,1106.849507400989,225
11466742,1106.1011950567174,225
11466751,1102.4618572712009,226
11466810,1100.0770901446836,226
11466961,1099.4473919756585,226
11467224,1099.3573754602128,227
11467225,1099.3272842811548,227
11467488,1098.5786398717055,228
11468034,1098.5442818485503,228
11468070,1098.0522768808764,229
11468151,1130.675073731672,229
11468177,1130.6967519332995,229
11468313,1130.3576163503958,230
11468434,1130.32433772077,231
11468470,1123.7718616315346,232
11468526,1120.8099509458464,233
11468573,1118.730288473748,233
11468600,1107.1097430701946,233
11468731,1107.0775069571994,234
11468830,1106.9704780339378,234
11468855,1105.4764464171428,235
11468991,1119.3372478359388,235
11469031,1118.3529063285978,236
11469078,1119.3372478359388,235
11469103,1201.7122099844219,234
11469164,1190.9189779303508,235
11469566,1198.0508438434915,235
11469713,1109.7616945005043,236
11469889,1112.116733472564,235
11469949,1110.1864598426173,235
11470390,1113.5988253982118,234
11470404,1112.4590440891689,235
11470421,1116.8866264582878,234
11470435,1115.967362133562,234
11470950,1119.224818543145,233
11470953,1141.224780161559,233
11470988,1140.6799520795603,233
11471123,1123.071675756938,234
11471182,1124.9389912543845,234
11471183,1125.8797213710645,234
11471249,1133.261723560393,234
11471359,1131.0447679042813,235
11471780,1132.0450181192243,236
11472386,1132.0223900604337,236
11472402,1131.9114497276703,236
11472519,1116.9324964745679,237
11472531,1123.9773675294996,236
11472948,1128.179334499708,236
11473406,1127.9727340158954,237
11473500,1128.6418232767583,236
11473538,1130.7531468044226,235
11473687,1130.676619369575,236
11473931,1129.4736206183331,237
11474109,1129.1400029659162,238
11474455,1129.0563873633191,239
11474924,1128.8906041254413,240
11475123,1021.0595325007339,241
11475135,1128.8906041254413,240
11475206,1126.7094035637012,241
11475234,1125.5459261551603,242
11475317,1127.2102428484952,241
11475397,1127.1102787334953,241
11475437,1138.0288182452737,241
11475577,1130.4894448483678,242
11475763,1129.1729126136534,242
11475960,1137.915231739615,241
11476263,1066.635600705458,242
11476489,1066.626142037016,242
11476590,1064.2805793079826,242
11476688,1061.843434663244,242
11476815,1062.341367032012,241
11477253,1060.6132840617493,241
11477276,1060.6118373655402,241
11477672,1059.4060241656898,242
11477681,1060.6118373655402,241
11477800,1060.6094171922539,242
11477832,1060.7000920447958,242
11477986,1060.7965832415068,242
11478466,1060.646903484916,243
11478810,1060.5495087107174,243
11478820,1046.10214503348,244
11478836,1043.1658347596046,245
11478858,1043.2690400563638,245
11478884,1043.417800507717,244
11479029,1043.2718572242586,244
11479261,1042.0372646481555,245
11479562,1047.4111951321834,244
11479665,1047.4408705486292,244
11479679,1047.4770681709658,244
11479755,1047.1804874941815,245
11479824,1045.7499404653372,246
11479885,1044.820000904944,247
11479935,1044.802259032558,248
11480180,1045.8735003666902,247
11480910,1045.4713892809405,248
11481031,1045.9142201648676,248
11481039,1046.3252931500408,247
11481069,1045.7876259442687,247
11481079,1045.2046168025317,248
11481086,1045.175032523601,249
11481536,1046.202068811715,248
11481552,1047.685964386426,248
11481738,1053.5822529541472,247
11482400,1053.3874968346904,248
11482650,1051.7292657562978,248
11482722,1051.571163270633,248
